item,definition,user_count,user_rate_in_scope,user_rate_in_kg,denominator_count,numerator_count,conversion_rate
乃琳鸣潮触达用户,至少进入过一次 乃琳_鸣潮 的用户,92326,1.0,,,,
kg,2025-12-09 及之后首次被观测到，且首次互动直播就是 乃琳_鸣潮，此前没有任何看播记录,74283,0.8046,,,,
核心kg_ge5,kg 用户在首次进入 乃琳_鸣潮 后，累计在 A-SOUL 任意直播有效到场>=5,17997,0.1949,0.2423,,,
510回旋,2022-06-01 及以前出现过，2022-06-02~2025-12-08 完全沉默，2025-12-09 后重新出现,2653,0.0287,,,,
广义回旋,2025-12-09 前出现过，2025-12-09 后再次出现，且不属于 510回旋,5484,0.0594,,,,
主承接口径,kg -> 首次进入 乃琳_鸣潮 后，在 A-SOUL 任意直播累计有效到场>=5,,,,74283,17997,0.2423
