category,unique_guard_users,unique_guard_user_rate,guard_count_sum,guard_count_rate,level_1_count,level_2_count,level_3_count
黑名单长期观众,4082,0.3088,4092,0.309,7,125,3950
510回旋,447,0.0338,449,0.0339,0,8,439
广义回旋,1152,0.0872,1153,0.0871,0,15,1137
kg,7536,0.5702,7549,0.57,1,64,7471
