segment,kg_user_count,user_count,user_rate
无后续到场,74283,21398,0.2881
仅留在乃琳,74283,23153,0.3117
只去嘉然,74283,3495,0.047
只去贝拉,74283,609,0.0082
乃琳+嘉然,74283,15498,0.2086
乃琳+贝拉,74283,1495,0.0201
嘉然+贝拉,74283,276,0.0037
三人都看,74283,8359,0.1125
