uid,xml_count,danmu_count
20919492,16,217
405525,16,201
4964985,16,177
62529648,16,176
527554,16,163
7786667,16,139
1758971,16,134
88104670,16,134
7719038,16,117
12589999,16,114
16459989,16,106
3042474,16,106
10862113,16,92
24261845,16,87
2255245,16,83
685353,16,83
93912025,16,72
10936988,16,59
6452255,16,57
9032987,16,47
24407956,16,46
3228643,16,42
32547659,16,41
16440429,16,39
1884145,16,36
4659027,16,31
52641002,16,31
1555086,16,29
2439037,16,28
5847764,15,359
25962256,15,344
51126098,15,314
2551282,15,210
37761135,15,183
21772200,15,172
469876,15,161
22584027,15,160
12486468,15,159
6152643,15,149
66900416,15,143
2892715,15,139
265624,15,119
9105629,15,117
1993614,15,116
18272436,15,108
25185779,15,103
11730601,15,102
258253,15,101
33495542,15,97
74102693,15,96
28089436,15,94
14197404,15,87
65699417,15,83
19960356,15,82
40021278,15,82
19222572,15,79
35416611,15,77
2183558,15,74
24858490,15,70
46857914,15,68
24391214,15,66
13741246,15,64
24366880,15,59
54788097,15,58
14212613,15,57
3349634,15,57
71293405,15,55
87893010,15,54
941470,15,53
14266757,15,50
8321829,15,49
23200248,15,48
18048860,15,47
38931903,15,47
7050354,15,46
36868480,15,45
13955084,15,44
90555656,15,44
29587015,15,42
7791550,15,42
33617718,15,40
58300522,15,28
3371409,15,27
102350,15,25
2697737,15,24
34966016,15,19
22233924,15,18
14097024,15,15
328422,15,15
27318379,14,1329
19205411,14,875
12810594,14,623
35739023,14,526
39049131,14,272
14516923,14,260
26114356,14,241
1733731,14,178
5015398,14,174
7112540,14,167
8227075,14,149
11491999,14,147
38351605,14,141
14189346,14,130
13214574,14,125
2818378,14,122
5064285,14,118
51743,14,113
14881826,14,85
2367397,14,82
39495762,14,82
318511,14,80
2652540,14,78
57420857,14,73
4443203,14,66
197730,14,61
1350591,14,58
671454,14,56
30748424,14,51
5707372,14,50
92049220,14,49
29103034,14,47
10868681,14,44
18333018,14,43
3227010,14,39
1474707,14,36
28633740,14,35
282761,14,30
125184,14,29
8708006,14,29
6841681,14,28
837458,14,28
12778513,14,25
12734358,14,22
30137285,13,473
34630402,13,268
90323722,13,207
21260277,13,178
34630532,13,160
97610115,13,142
1891593,13,134
1522928,13,131
10436067,13,118
62995152,13,117
24288652,13,109
45396948,13,99
1497666,13,89
2471425,13,82
17068511,13,70
4322351,13,64
74173596,13,60
26604433,13,58
44893200,13,54
5612100,13,51
29327044,13,49
1859890,13,48
1961480,13,48
9846536,13,41
27385616,13,37
7472287,13,36
283541,13,33
18897406,13,32
35410180,13,27
97634870,13,27
14735760,13,24
1488800,13,24
18254335,13,23
13111197,13,21
2009214,13,21
911960,13,20
44364829,13,15
51078849,12,998
35155617,12,817
27628196,12,673
13788859,12,420
2520985,12,256
8396766,12,234
6874887,12,212
95160125,12,202
11551090,12,178
7445938,12,130
32948905,12,114
23260225,12,112
29003828,12,112
280392,12,91
1867131,12,79
16882667,12,77
11762283,12,69
39025332,12,69
3304457,12,67
12530855,12,62
29104768,12,62
43854,12,59
36169346,12,56
85919705,12,56
13817086,12,50
36437468,12,50
20568348,12,48
13223046,12,46
32594983,12,46
86273008,12,46
20357888,12,44
11576783,12,43
13492482,12,43
59834085,12,42
14127155,12,41
22170175,12,40
1814266,12,38
3320928,12,38
3063596,12,37
99562542,12,35
84014524,12,32
23088219,12,31
94727656,12,31
12729779,12,30
3945141,12,30
5987482,12,30
13007965,12,28
18049237,12,28
58458687,12,28
35046720,12,26
3162175,12,24
4250689,12,24
1554,12,22
24839220,12,19
1446018,12,18
89737207,12,18
3643696,12,16
32551911,11,1632
33169296,11,592
14393690,11,418
21115753,11,345
85479187,11,259
8192040,11,248
98784361,11,235
3552118,11,159
49575224,11,158
1468546,11,150
28334190,11,150
87332482,11,123
1512292,11,121
10927590,11,109
490536,11,97
4662264,11,96
6397529,11,91
3440404,11,90
7125035,11,85
9044879,11,84
88057622,11,83
20780960,11,77
2851509,11,73
38546241,11,65
33629942,11,64
207836,11,62
86740021,11,59
94674222,11,57
42582581,11,56
54251144,11,56
74505720,11,54
35150119,11,46
91333200,11,46
32379973,11,44
40970022,11,41
21257324,11,40
23186830,11,39
9574127,11,37
286799,11,36
15184457,11,34
34767784,11,34
3899299,11,34
13882520,11,30
1479356,11,30
18570018,11,30
8178163,11,29
11043496,11,28
1310090,11,28
38899167,11,26
85462286,11,23
56327114,11,22
884963,11,22
6896,11,18
3512341,11,16
41409802,11,16
91772261,10,403
773090,10,354
26288049,10,203
50043628,10,193
27937,10,190
36759151,10,188
22827299,10,169
2187129,10,166
5136619,10,153
24780898,10,149
26345155,10,135
4452193,10,109
34405189,10,107
10827169,10,103
852870,10,103
38505110,10,102
2247582,10,92
31334471,10,92
12432399,10,87
12140546,10,86
34868940,10,84
88432003,10,81
80185132,10,80
4464996,10,79
13689393,10,77
17276310,10,77
27232286,10,73
12293793,10,72
38770364,10,72
1804137,10,65
26285531,10,62
8860894,10,61
1360098,10,57
3364330,10,54
1738394,10,53
85432236,10,52
1719897,10,50
9157212,10,50
1714743,10,49
37961445,10,46
39030792,10,46
71281395,10,45
24359113,10,43
4366981,10,41
22493329,10,37
12577281,10,35
19586901,10,35
18574613,10,34
34414290,10,34
5809098,10,33
43154618,10,32
22595914,10,29
22784683,10,28
25114006,10,27
6170803,10,27
16886610,10,26
24848959,10,25
97816286,10,25
1848563,10,24
18156908,10,23
14098057,10,22
14902424,10,21
3697058,10,20
23975008,10,19
24028313,10,19
13339300,10,18
39535555,10,17
7470347,10,17
91154113,10,17
5415125,10,15
21689848,10,14
90485631,9,923
30895855,9,848
13986464,9,581
30462490,9,529
23981178,9,432
37492884,9,360
22650744,9,265
12081279,9,251
1556687,9,251
129193,9,211
16796466,9,178
16535805,9,159
8492244,9,143
13978776,9,141
29062400,9,133
31628971,9,103
98867453,9,78
1454974,9,75
26041554,9,69
1890301,9,64
3978759,9,64
7769365,9,54
92415009,9,53
15627350,9,46
4208930,9,46
23385388,9,45
40478285,9,45
142197,9,44
18412154,9,43
3959184,9,43
8180994,9,42
1427612,9,40
23772140,9,40
43370960,9,38
8562899,9,38
12114921,9,29
95224175,9,29
24807590,9,28
35292903,9,28
803072,9,27
81419999,9,27
9364920,9,27
96367727,9,26
10097890,9,25
19873539,9,25
2080888,9,25
32340601,9,25
4111350,9,25
472782,9,25
875366,9,25
88756612,9,25
1435110,9,24
73808830,9,24
6475116,9,23
25116990,9,22
185032,9,21
27562202,9,21
4203405,9,20
16193840,9,19
20222925,9,19
2970702,9,19
