uid,uname,category,guard_event_count,guard_count_sum,max_level,is_blacklist,is_510_return,is_broad_return_exclusive,is_window_new,first_seen_text,last_pre_return_text,as_active_count_after_source
167510071,St0pch3ating,黑名单长期观众,1,1,3,1,0,0,0,,,0
167537772,HwhuF,kg,1,1,3,0,0,0,0,2022-02-04 19:50,2022-04-23 19:51,0
167546,嘉然厨,黑名单长期观众,1,1,3,1,0,0,0,,,0
167619561,三角洲的传奇故事,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,19
167628,放开那群后宫,kg,1,1,3,0,0,0,1,2026-01-13 11:53,,27
1676485634,姜橙子蜜粥,kg,1,1,3,0,0,0,1,2025-12-13 23:55,,34
1676866913,蒲牢我稀罕你,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,3
1678575325,辣炒牛肉来咯,黑名单长期观众,1,1,3,1,0,0,0,,,0
1678762576,乃贝第一胎位,黑名单长期观众,1,1,3,1,0,0,0,,,0
1678866,未来是如你所愿,黑名单长期观众,1,1,3,1,0,0,0,,,0
167894799,勃兰登堡侯爵,黑名单长期观众,1,1,3,1,0,0,0,,,0
1679033118,乱步松茸,黑名单长期观众,1,1,3,1,0,0,0,,,0
167936459,尘世黎明--,广义回旋,1,1,3,0,0,1,0,2022-06-01 21:01,2022-12-11 19:50,4
1679445553,变成光守护最好的然然,黑名单长期观众,1,1,3,1,0,0,0,,,0
1680267562,人与僵和,黑名单长期观众,1,1,3,1,0,0,0,,,0
16803615,sHz77_,kg,1,1,3,0,0,0,1,2026-02-14 21:05,,3
1680761567,姚可爱同学,kg,1,1,3,0,0,0,1,,,0
168077777,陈玉尧,广义回旋,1,1,3,0,0,1,0,2022-03-25 19:50,2025-06-06 22:27,0
168100595,夜落笙声,kg,1,1,3,0,0,0,0,2022-03-31 18:40,2024-12-07 12:03,0
16811125,加萨赫,黑名单长期观众,1,1,3,1,0,0,0,,,0
168113379,MARK67,黑名单长期观众,1,1,3,1,0,0,0,,,0
