scope,segment,raw_user_count,raw_user_rate_in_scope,core_ge3_count,core_ge3_rate_in_segment,core_ge5_count,core_ge5_rate_in_segment,core_ge7_count,core_ge7_rate_in_segment
全站,510回旋,5176,0.0199,1117,0.2158,784,0.1515,593,0.1146
全站,广义回旋,11714,0.0449,2421,0.2067,1676,0.1431,1301,0.1111
乃琳鸣潮触达内,510回旋,2957,0.0247,1117,0.3777,784,0.2651,593,0.2005
乃琳鸣潮触达内,广义回旋,5945,0.0497,2421,0.4072,1676,0.2819,1301,0.2188
