hash,xml_count,danmu_count
56340786,13,246
4f53b71,13,243
cfebb839,13,238
eda19344,13,236
d1f6a65,13,226
a867ded2,13,224
973a8d20,13,222
c01ab612,13,214
c54f4a59,13,213
da69bcc4,13,213
196eb9be,13,212
b5bc16bd,13,212
f27eeb82,13,195
301accef,13,191
94c16480,13,190
35801a2d,13,187
905bfaf5,13,186
95551723,13,181
f2c19d4e,13,179
d1979896,13,178
b09ec5b9,13,175
386e2d51,13,172
dc02ab51,13,171
282586a0,13,162
f0671cd7,13,159
4aa1d693,13,158
c8bf6e17,13,155
44fde1f3,13,154
a5352629,13,154
f0548607,13,154
f1d58bfb,13,141
b392c05f,13,140
ca4ddf1b,13,138
e7943f80,13,138
492abdb3,13,133
9a795489,13,133
60a4e755,13,131
bfeb7a6d,13,129
addb5ced,13,126
541ec14f,13,123
ea390e44,13,123
14b4aab9,13,120
d63dd0c6,13,117
a38e3d79,13,115
c278b5a4,13,114
b08a055e,13,112
ceb2284c,13,110
fc496b52,13,108
e69d6260,13,107
19bbb3f3,13,105
d7688027,13,105
2702ae58,13,102
73769935,13,99
73b1b54c,13,99
cb638ccc,13,99
f8f4f127,13,99
6c40e00a,13,97
82a2c84,13,97
c709936c,13,96
7c1a0494,13,94
b3c4cd99,13,92
efa65999,13,90
70faf96b,13,88
2e588a49,13,87
56a30b48,13,87
f938674,13,86
f1f454e,13,84
328d74eb,13,83
7046ecfb,13,83
2f21205b,13,82
9bc969a5,13,82
49626696,13,80
16e869f8,13,79
5c8e9ee2,13,76
c57b98c7,13,76
f0113fec,13,73
e185c0fc,13,72
e5ece92c,13,72
60dbf6f3,13,71
fedf78d5,13,71
16d7ab3e,13,69
f35fde54,13,69
d6fea303,13,68
3fcd2066,13,67
d981d587,13,66
f76d0197,13,65
35bc6f88,13,64
168d3e64,13,63
23983a2e,13,63
f451f241,13,61
c996d9ba,13,60
e485b56c,13,59
63d61408,13,57
d127b551,13,56
46a35f67,13,54
8cd80601,13,54
acd5e55c,13,53
14825f33,13,51
c72bf269,13,51
1d8b620f,13,45
822a743f,13,44
e12fd219,13,44
8c819dc5,13,40
14fcdf4c,13,39
7c2378e7,13,39
88ca662f,13,38
34c7a8aa,13,37
6636fde9,13,37
eca0e615,13,35
86d92733,12,1142
f78ee0f3,12,866
2e04b302,12,827
e4dda109,12,796
f44467bf,12,721
58b1373f,12,681
567e3f10,12,616
ac201e52,12,544
5d0c88bb,12,528
434b1770,12,506
9dad4a25,12,424
44488cd2,12,413
cebb787,12,411
c759e213,12,408
2e16a087,12,402
540efbda,12,386
ad805228,12,384
c150dad9,12,366
283b7d7,12,352
3976291f,12,330
fb7501b4,12,307
4d4ec29e,12,293
3b9d683c,12,285
aae769b0,12,261
5bc31b1c,12,255
e22d1ecb,12,246
fb155c7c,12,240
1f54eb54,12,235
481fbba7,12,230
92089cda,12,229
b7b0d517,12,229
677789ff,12,220
1bf81422,12,216
94e5a41d,12,210
d01b3d64,12,204
3572531,12,202
1bee21e9,12,201
976e701a,12,200
cb731d45,12,199
6edf703c,12,198
c6725cd,12,198
c7ee3241,12,197
24698a8,12,196
3570c84,12,193
493e284d,12,192
f5a6165,12,188
8b04ed36,12,186
4750c582,12,184
5856461b,12,175
d1f3fec0,12,175
39c3ef24,12,169
1d8d9dae,12,165
2265f22c,12,162
745d4e92,12,161
7ac0b776,12,159
23aa77a9,12,155
97892257,12,155
6daa452d,12,151
a813391c,12,151
881be733,12,150
137cbd4c,12,149
2addbb96,12,146
3bdec102,12,146
2b9f4a7,12,141
a3d075f6,12,135
18266e68,12,134
ddd5f3fb,12,134
abbc82d0,12,133
d7f745bd,12,131
3a3813e7,12,129
b91f725,12,123
e1a6548b,12,123
360dfab6,12,121
51ee4788,12,120
c42c9d99,12,120
464e6585,12,118
d0df15f9,12,116
a977cec0,12,114
a45cfe5d,12,113
107fc051,12,112
7a7531c4,12,111
ae21e75f,12,108
33f536c5,12,107
91dd15e,12,106
f8e2ade,12,106
e467ff59,12,105
cb07a6f8,12,104
e2679fde,12,104
e3c5a1ec,12,103
eafcb64f,12,103
a8dd61ee,12,101
1d15acd8,12,100
6545e0fe,12,100
78852513,12,100
1d3bac23,12,99
471951ed,12,96
d125001e,12,96
35dc5e53,12,95
69065766,12,94
927e11e5,12,94
b9ff3a40,12,93
67a99873,12,92
47e1245b,12,91
82ea9781,12,91
322deaac,12,90
9261ed2d,12,90
a2982933,12,89
64d79e36,12,88
a8f9f7f3,12,87
49109dca,12,83
7d488817,12,83
631b9b09,12,80
61eb3ba1,12,79
90716180,12,79
80342f9a,12,78
c8b7753e,12,78
d3e4c1da,12,78
9acc34a0,12,77
a118fe3c,12,77
b1e79105,12,77
