uid,xml_count,danmu_count
2520985,9,107
5942498,9,92
66723979,9,92
469876,9,89
36759151,9,88
2082950,9,85
1733731,9,80
12486468,9,73
32948905,9,64
62995152,9,64
8227075,9,63
2892715,9,58
87332482,9,58
74173596,9,56
9154799,9,55
2187129,9,54
14197404,9,52
2083685,9,50
10729499,9,48
38351605,9,47
44077357,9,45
7786667,9,45
12589999,9,44
9583589,9,40
11491999,9,39
24288652,9,39
24391214,9,39
2367397,9,37
15314111,9,35
4662264,9,34
11576783,9,33
586181,9,33
265624,9,32
91181045,9,32
9846536,9,32
19753351,9,30
5824027,9,29
33495542,9,27
13606645,9,26
3320928,9,26
5707372,9,26
84014524,9,26
125184,9,25
905751,9,25
3949659,9,24
36232228,9,23
14662004,9,22
17794016,9,22
54251144,9,22
13223046,9,21
18053063,9,21
4250689,9,20
36868480,9,19
318511,9,18
71293405,9,18
9032987,9,17
3945141,9,15
7390377,9,13
15621752,9,12
4659027,9,12
8784,9,11
27318379,8,489
35155617,8,427
35739023,8,138
1556687,8,132
16535805,8,119
11054237,8,117
490536,8,116
773090,8,112
14516923,8,110
38663548,8,97
25962256,8,90
4964985,8,88
1738394,8,84
85479187,8,74
24359113,8,71
34630532,8,71
527554,8,69
51126098,8,62
28334190,8,61
21772200,8,60
22584027,8,59
28089436,8,46
7112540,8,45
1522928,8,40
45396948,8,40
8562899,8,40
1454974,8,39
16459989,8,39
7445938,8,39
25185779,8,38
2255245,8,36
46857914,8,36
24261845,8,35
2818378,8,35
24858490,8,33
5493374,8,32
6152643,8,32
8661378,8,29
27562202,8,28
34868940,8,27
8178163,8,26
19586901,8,25
20784212,8,25
27232286,8,25
2853713,8,25
91333200,8,25
18048860,8,24
23200248,8,23
38931903,8,23
85432236,8,23
207836,8,22
29104768,8,22
29587015,8,22
3349634,8,21
14266757,8,20
74102693,8,20
33623091,8,19
1474707,8,18
4443203,8,18
8321829,8,18
99562542,8,18
425101,8,17
73808830,8,17
38257573,8,16
12884714,8,15
25114006,8,15
58458687,8,15
28633740,8,13
35046720,8,13
7050354,8,11
8120022,8,10
14097024,8,8
22233924,8,8
328422,8,8
51078849,7,387
30462490,7,192
27628196,7,176
12810594,7,173
37492884,7,169
65435104,7,122
13788859,7,104
26114356,7,84
39493846,7,81
82237127,7,80
2551282,7,66
28946115,7,65
5015398,7,64
1867131,7,60
35416611,7,48
34405189,7,47
874910,7,46
9105629,7,44
18272436,7,42
16882667,7,41
19960356,7,41
